playerID,name,rating,gamesWon,gamesPlayed,winPercentage
2116,"zero",1052,3,6,43
1951,"NoWay",1051,26,49,52
449,"lilderpie",1050,46,107,43
2435,"Kublū",1049,2,4,40
2444,"Epic",1048,1,2,33
347,"Dark",1048,4,8,56
2211,"Aether",1048,2,4,40
723,"DenPok",1047,9,23,38
357,"Bowser",1047,8,17,44
1954,"Seeven",1046,3,5,50
2442,"Duckmaster",1046,2,4,40
1361,"The_Banner_",1045,2,4,40
635,"ELEGY_990",1045,1,2,33
2531,"Junk Puncher",1044,1,2,67
707,"Fua",1044,1,2,33
1333,"YorgrunTheMadLad",1043,6,12,46
1866,"NolieRavioli",1043,1,2,33
26,"pal",1042,9,19,45
2236,"Lupi 0 o 0",1042,2,4,40
2303,"antinatidae",1042,17,51,33
42,"Griddy master",1041,4,8,44
2190,"Jingo",1041,2,4,40
169,"Dyscoid",1040,5,10,45
537,"QGains",1040,1,2,33
19,"swag messiah",1040,14,30,45
2327,"The Archivist",1040,4,10,36
903,"Him",1040,2,4,40
223,"SGplaysIt",1039,3,6,43
1464,"Grassy",1039,1,2,33
1944,"Madddy",1039,2,4,40
2086,"ValorLee",1039,8,18,42
1446,"KJwhy",1039,5,11,42
2551,"Swivy",1038,2,4,40
1004,"NeonFingers",1038,26,50,51
227,"Joser",1038,1,2,33
1288,"1funnylad",1038,9,17,50
1849,"Noobhero21",1037,1,2,33
2406,"Xantier",1037,2,4,40
2445,"cheez_itz_12oz",1036,3,5,50
110,"Elaste",1036,50,85,58
1166,"Konata",1036,1,2,33
266,"goomfrontlut",1036,3,6,43
740,"stellle_",1036,1,2,33
1295,"shygybeats",1035,6,14,40
181,"Schulminha",1035,3,6,43
996,"Kolanappen1",1035,8,22,35
1172,"LG_here",1034,7,14,47
383,"Skelly23",1034,1,2,33
2423,"blijebij",1034,2,4,40
1082,"masoki",1034,23,50,45
763,"Poker7",1033,10,20,48
2432,"feenofx",1033,2,4,40
1280,"DonutVibin",1033,3,6,43
102,"AnAwesomeDudette",1032,116,171,67
1957,"zenorachi",1032,2,4,40
1388,"Shaogan",1032,1,2,33
978,"Lemin",1031,1,2,33
960,"Apu",1031,4,8,44
216,"SolFlora",1031,2,4,40
2005,"cosmozavr",1031,2,4,40
976,"spid",1031,5,11,42
680,"Tuerk",1028,2,4,40
1857,"Chiperson",1028,1,2,33
2419,"floofien",1028,2,4,40
384,"SirCleric",1028,1,2,33
2449,"Gremmer1",1028,2,4,40
2022,"Sol",1026,3,7,38
1270,"Beep",1026,5,9,50
875,"CatgirlKazu",1026,2,4,40
380,"Lord T",1026,2,5,33
2545,"daturrrra",1025,2,6,29
2408,"Ofici_calu",1025,2,4,40
953,"Uzi",1025,1,2,33
757,"SamuraiBeid",1023,1,2,33
2104,"Cat Buddha",1022,2,4,40
1313,"The One",1022,7,17,39
2009,"Reeversion",1022,2,4,40
17,"Trox",1022,4,8,44
731,"Zenopid",1021,17,31,53
1118,"SpudFellow",1020,2,4,40
1860,"XX_GAMER__XX",1020,3,6,43
2310,"Dumbinic",1020,1,3,25
1083,"The Archvile From Doom 2",1019,2,4,40
1383,"zim",1018,6,12,46
2450,"Deep Lolf",1018,2,4,40
750,"JeffoConDobleF",1018,2,4,40
1859,"Tired Tortilla",1018,1,2,33
2129,"WizardWithAnAxe",1017,7,16,41
1341,"rave",1017,1,2,33
542,"th0r_2",1017,1,2,33
1843,"deceitfulcoatl",1017,1,2,33
1343,"CounterDice",1016,1,2,33
1371,"Millyy",1016,2,5,33
911,"deathtoalltoast",1016,2,4,40
1454,"Melon",1016,1,2,33
1374,"Mmmmmmmm",1016,3,6,43
2007,"hll",1016,2,4,40
116,"Spring",1015,3,6,43
1401,"nik.vesla",1014,1,2,33
2264,"Boomerz",1014,2,5,33
1709,"soop",1014,3,6,57
492,"aisu",1014,1,2,33
1364,"PastorPriest",1014,3,7,38
1276,"Exo",1014,3,6,43
250,"GoatAttack",1014,1,3,25
2209,"NotAbigail",1013,2,4,40
5,"Noir",1013,3,6,43
1852,"Aulephia",1012,3,7,38
765,"Angels510",1012,2,4,40
2451,"TiSunstrider",1012,1,2,33
2437,"SUI",1011,2,4,40
